tweet_id,user_id,username,tweet_text,created_at,location,lang,source,reply_count,retweet_count,like_count,quote_count,hashtags,urls,mentions,referenced_tweet_type,reference_reply_count,reference_retweet_count,reference_like_count,reference_quote_count,user_profile_url,tweet_url,reference_user_profile_url,reference_tweet_url
1590504643943362560,1376376224734384130,DomRockets,"Brotherhood Superteam
Ja Morant
Jalen Green
Scottie Barnes
Paolo Banchero
Alperen Sengun",2022-11-09 19:40:31-05:00,N/A,Dutch (nl),Twitter for iPhone,1,1,4,0,N/A,N/A,N/A,original,N/A,N/A,N/A,N/A,https://twitter.com/DomRockets,https://twitter.com/DomRockets/status/1590504643943362560,N/A,N/A
1590504095722270721,1299658023447793664,sny_alain,Jalen Green qui retrouve Scottie Barnes on y va,2022-11-09 19:38:21-05:00,N/A,French (fr),Twitter Web App,0,0,2,0,N/A,N/A,N/A,original,N/A,N/A,N/A,N/A,https://twitter.com/sny_alain,https://twitter.com/sny_alain/status/1590504095722270721,N/A,N/A
1590504027561005056,4826787073,myajoelleee,@vic_mcmahon omg tell scottie barnes I love him 😭😭😭😭,2022-11-09 19:38:04-05:00,"Surrey, British Columbia",English (en),Twitter for iPhone,0,0,0,0,N/A,N/A,@vic_mcmahon (user_id: 2664038944),replied_to,1,0,3,0,https://twitter.com/myajoelleee,https://twitter.com/myajoelleee/status/1590504027561005056,https://twitter.com/vic_mcmahon,https://twitter.com/vic_mcmahon/status/1590496605613871104
1590503630503043072,1457504192038379533,ElenilzaMourato,"RT @RaptorsBrazil: Raptors hoje x Rockets:

- Fred VanVleet
- Gary Trent Jr
- Scottie Barnes
- OG Anunoby 
- Christian Koloko 

#WeTheNorth https://t.co/rvmtVf8isy",2022-11-09 19:36:30-05:00,N/A,Danish (da),Twitter Web App,0,1,0,0,#WeTheNorth,N/A,@RaptorsBrazil (user_id: 2595042980),retweeted,1,1,14,1,https://twitter.com/ElenilzaMourato,https://twitter.com/ElenilzaMourato/status/1590503630503043072,https://twitter.com/RaptorsBrazil,https://twitter.com/RaptorsBrazil/status/1590495916019941376
1590502907656679424,168891324,WalderSports,"While I still can, your regularly scheduled Scottie Barnes and Christian Koloko all-time updates resume shortly.",2022-11-09 19:33:37-05:00,N/A,English (en),Twitter Web App,3,0,42,0,N/A,N/A,N/A,original,N/A,N/A,N/A,N/A,https://twitter.com/WalderSports,https://twitter.com/WalderSports/status/1590502907656679424,N/A,N/A
1590502104200024065,722570954,Dakwon12,RT @SportsCenter: SCOTTIE BARNES PUT HIM ON A POSTER 😤 https://t.co/mJ5wiqWowV,2022-11-09 19:30:26-05:00,N/A,English (en),Twitter for iPhone,0,569,0,0,N/A,https://twitter.com/SportsCenter/status/1589812300113813504/video/1,@SportsCenter (user_id: 26257166),retweeted,75,569,3944,204,https://twitter.com/Dakwon12,https://twitter.com/Dakwon12/status/1590502104200024065,https://twitter.com/SportsCenter,https://twitter.com/SportsCenter/status/1589812300113813504
1590501385791242240,1519314914485092352,InsideRocketsFN,"RT @CotyDavis_24: New: This schedule has been really hard…We are fighting through it. That's the lesson learned."" — Stephen Silas 

The #Rockets will continue their four-game road trip Wednesday night during a match against the Toronto Raptors. via @InsideRocketsFN 

https://t.co/wbE9kEB3Oh",2022-11-09 19:27:35-05:00,N/A,English (en),Twitter for iPhone,0,1,0,0,N/A,N/A,@CotyDavis_24 (user_id: 340580912),retweeted,0,1,1,0,https://twitter.com/InsideRocketsFN,https://twitter.com/InsideRocketsFN/status/1590501385791242240,https://twitter.com/CotyDavis_24,https://twitter.com/CotyDavis_24/status/1590480865301499904
1590500896068501504,259965034,nukukene,RT @AaronBenRose: Nick Nurse was asked about the health of Scottie Barnes’ ankle and said “I don’t think he’s battling anything”,2022-11-09 19:25:38-05:00,N/A,English (en),Twitter for iPhone,0,4,0,0,N/A,N/A,@AaronBenRose (user_id: 2239952592),retweeted,8,4,121,41,https://twitter.com/nukukene,https://twitter.com/nukukene/status/1590500896068501504,https://twitter.com/AaronBenRose,https://twitter.com/AaronBenRose/status/1590478169026748416
1590500580874940416,1490862850545442820,hoopscardsdaily,Scottie Barnes 2021 22 NBA Hoop #basketballcards #sponsored https://t.co/pjyNCe1Wpj,2022-11-09 19:24:23-05:00,N/A,English (en),cards-app,0,0,0,0,"#basketballcards
#sponsored",https://www.ebay.com/itm/Scottie-Barnes-2021-22-NBA-Hoops-RC-227-Teal-Explosion-PSA-10-Mint-Pop-1-/364036812941?mkcid=1&mkrid=711-53200-19255-0&toolid=20023&campid=5338911846&customid=110822&siteid=0&mkevt=1,N/A,original,N/A,N/A,N/A,N/A,https://twitter.com/hoopscardsdaily,https://twitter.com/hoopscardsdaily/status/1590500580874940416,N/A,N/A
1590499461440032769,781038453668577280,1pointplay,"#NBA #NBATwitter Today's Lineups

#WeTheNorth 
Toronto Raptors Starting 5:
Fred VanVleet
Gary Trent Jr.
OG Anunoby
Scottie Barnes
Christian Koloko

#Rockets
Houston Rockets Starting 5:
Kevin Porter Jr.
Jalen Green 
Eric Gordon
Jabari Smith
Alperen Sengun",2022-11-09 19:19:56-05:00,N/A,English (en),Twitter Web App,0,0,0,0,"#NBA
#NBATwitter
#WeTheNorth
#Rockets",N/A,N/A,original,N/A,N/A,N/A,N/A,https://twitter.com/1pointplay,https://twitter.com/1pointplay/status/1590499461440032769,N/A,N/A
1590499316447473664,2710405396,Raptors_FR,"RT @Mike_LaviolRaps: 5 de départ classique :

Fred VanVleet
Gary Trent Jr. 
Scottie Barnes
O.G. Anunoby
Christian Koloko",2022-11-09 19:19:21-05:00,N/A,Haitian (ht),Twitter for iPhone,0,1,0,0,N/A,N/A,@Mike_LaviolRaps (user_id: 340965071),retweeted,0,1,4,0,https://twitter.com/Raptors_FR,https://twitter.com/Raptors_FR/status/1590499316447473664,https://twitter.com/Mike_LaviolRaps,https://twitter.com/Mike_LaviolRaps/status/1590493117282545664
1590498604321763328,1486572913339867143,IanScottie4,Scottie Barnes and Jalen Green are playing tonight. There’s a high chance Scottie has a big scoring performance 😈 https://t.co/YjYO1zlsBo,2022-11-09 19:16:31-05:00,N/A,English (en),Twitter for iPhone,1,0,3,1,N/A,https://twitter.com/IanScottie4/status/1590498604321763328/video/1,N/A,original,N/A,N/A,N/A,N/A,https://twitter.com/IanScottie4,https://twitter.com/IanScottie4/status/1590498604321763328,N/A,N/A
1590498588181893120,1113904650107932673,GSMLBPicks,"Toronto Raptors Starters:

Fred VanVleet
Gary Trent
OG Anunoby
Scottie Barnes
Christian Koloko

Players out:
Khem Birch
Justin Champagnie
Pascal Siakam
#WeTheNorth #NBA #NBATwitter #NBA75",2022-11-09 19:16:28-05:00,N/A,English (en),GrandSlamPicks,0,0,0,0,"#WeTheNorth
#NBA
#NBATwitter
#NBA75",N/A,N/A,original,N/A,N/A,N/A,N/A,https://twitter.com/GSMLBPicks,https://twitter.com/GSMLBPicks/status/1590498588181893120,N/A,N/A
1590498364998574085,1521273562363015168,ricohives,sources tell me Scottie Barnes is dropping a 35 point triple double tonight🔥,2022-11-09 19:15:34-05:00,N/A,English (en),Twitter for iPhone,0,0,10,0,N/A,N/A,N/A,original,N/A,N/A,N/A,N/A,https://twitter.com/ricohives,https://twitter.com/ricohives/status/1590498364998574085,N/A,N/A
1590496019741290498,1417846291984437248,ArgRaptors,"🚨 ¡𝘘𝘜𝘐𝘕𝘛𝘌𝘛𝘖 𝘊𝘖𝘕𝘍𝘐𝘙𝘔𝘈𝘋𝘖 𝘗𝘈𝘙𝘈 𝘌𝘓 𝘗𝘈𝘙𝘛𝘐𝘋𝘖! 🚨

PG: Fred VanVleet 🧠
SG: Gary Trent Jr 🤘
SF: Scottie Barnes 💎
PF: OG Anunoby 🖐️
C: Christian Koloko 🔒

#WeTheNorth",2022-11-09 19:06:15-05:00,N/A,Tagalog (tl),Twitter for Android,0,0,3,0,#WeTheNorth,N/A,N/A,original,N/A,N/A,N/A,N/A,https://twitter.com/ArgRaptors,https://twitter.com/ArgRaptors/status/1590496019741290498,N/A,N/A
1590495916019941376,2595042980,RaptorsBrazil,"Raptors hoje x Rockets:

- Fred VanVleet
- Gary Trent Jr
- Scottie Barnes
- OG Anunoby 
- Christian Koloko 

#WeTheNorth https://t.co/rvmtVf8isy",2022-11-09 19:05:51-05:00,N/A,Danish (da),Twitter for iPhone,1,1,14,1,#WeTheNorth,https://twitter.com/RaptorsBrazil/status/1590495916019941376/photo/1,N/A,original,N/A,N/A,N/A,N/A,https://twitter.com/RaptorsBrazil,https://twitter.com/RaptorsBrazil/status/1590495916019941376,N/A,N/A
1590495509558759424,767813675583352832,6lnorris,RT @raptormoments: scottie barnes rich &amp; famous but he still just like me https://t.co/oLoYbbIDZw,2022-11-09 19:04:14-05:00,N/A,English (en),Twitter for iPhone,0,2704,0,0,N/A,https://twitter.com/raptormoments/status/1587495551800860672/video/1,@raptormoments (user_id: 1469083597441101824),retweeted,161,2704,30361,653,https://twitter.com/6lnorris,https://twitter.com/6lnorris/status/1590495509558759424,https://twitter.com/raptormoments,https://twitter.com/raptormoments/status/1587495551800860672
1590495252351172608,4750265384,LineStarNBA,"Toronto Raptors Starting Lineup 11/9
 PG: Fred VanVleet
 SG: Gary Trent Jr.
 SF: OG Anunoby
 PF: Scottie Barnes
 C: Christian Koloko
https://t.co/o75oZ8vnE8",2022-11-09 19:03:12-05:00,N/A,Danish (da),LinestarNBA,0,0,0,0,N/A,https://www.linestarapp.com/DailyDashboard/Sport/NBA,N/A,original,N/A,N/A,N/A,N/A,https://twitter.com/LineStarNBA,https://twitter.com/LineStarNBA/status/1590495252351172608,N/A,N/A
1590495219325116416,456318344,TheRyanHollins,"HOU
1. Gordon, Eric -Forward
2. Green, Jalen -Guard
3. Porter Jr., Kevin -Guard
4. Sengun, Alperen-Center
• 5. Smith Jr., Jabari -Forward
TOR
1. Anunoby, O.G. -Forward
2. Barnes, Scottie -Forward
3. Koloko, Christian -Center
4. Trent Jr., Gary -Guard
5. VanVleet, Fred -Guard",2022-11-09 19:03:04-05:00,N/A,English (en),Twitter for iPhone,1,0,10,0,N/A,N/A,N/A,original,N/A,N/A,N/A,N/A,https://twitter.com/TheRyanHollins,https://twitter.com/TheRyanHollins/status/1590495219325116416,N/A,N/A
1590494565311680515,360376907,SeasonsGala,RARE POP 9 - SCOTTIE BARNES NBA HOOPS HOT SIGNATURES ROOKIE PSA 9...👉 https://t.co/R5rKcrQuC7,2022-11-09 19:00:28-05:00,N/A,English (en),Twitter,0,0,0,0,N/A,https://www.ebay.com/itm/225244140659?mkcid=1&mkrid=711-53200-19255-0&siteid=0&campid=5338910785&customid=&toolid=10001&mkevt=1,N/A,original,N/A,N/A,N/A,N/A,https://twitter.com/SeasonsGala,https://twitter.com/SeasonsGala/status/1590494565311680515,N/A,N/A
1590493117282545664,340965071,Mike_LaviolRaps,"5 de départ classique :

Fred VanVleet
Gary Trent Jr. 
Scottie Barnes
O.G. Anunoby
Christian Koloko",2022-11-09 18:54:43-05:00,N/A,Haitian (ht),Twitter Web App,0,1,4,0,N/A,https://www.ebay.com/itm/225244140659?mkcid=1&mkrid=711-53200-19255-0&siteid=0&campid=5338910785&customid=&toolid=10001&mkevt=1,N/A,original,N/A,N/A,N/A,N/A,https://twitter.com/Mike_LaviolRaps,https://twitter.com/Mike_LaviolRaps/status/1590493117282545664,N/A,N/A
